"DL_score","ML_score","Truth"
0.99999976,0.117323264,"0"
0.019037832,0.01615908,"0"
0.9785187,0.91653216,"0"
0.00065703905,0,"0"
0.06992827,0,"0"
0.00022654928,0.97305614,"0"
0.0419532,0,"0"
0.014196216,0,"0"
4.8635906e-05,0,"0"
0.03375798,0.9223088,"0"
0.20244566,0.03139274,"0"
0.1722575,0,"0"
0.330676,0,"0"
0.32732952,0.15297078,"0"
0.28961906,0,"0"
0.033093058,0.39052236,"0"
0.23946187,0,"0"
1.9692918e-05,0.94416386,"0"
0.00028511128,0.6643781,"0"
0.15832114,0.06349424,"0"
0.4451485,0,"0"
0.083555825,0.44938055,"0"
0.9999995,0.49712697,"0"
0.060389195,0.052582953,"0"
0.0201603,0.25873262,"0"
0.9893666,0.019558756,"0"
0.99999726,0.58467835,"0"
0.28406933,0,"0"
0.0413094,0.31305447,"0"
0.82941645,0.16344443,"0"
0.0808648,0.9096093,"0"
0.11467023,0.9826062,"0"
1,0.880515,"0"
0.99978656,0.9443793,"0"
0.6082593,0.27874827,"0"
0.30402684,0,"0"
0.030825943,0,"0"
0.0012877918,0,"0"
9.71408e-06,0.7350555,"0"
0.94576484,0,"0"
0.9999982,0,"0"
0.999918,0.9410871,"0"
0.1539371,0.09566025,"0"
0.9730314,0.62823725,"0"
0.043500185,0,"0"
0.08667889,0.09705178,"0"
0.055347763,0,"0"
0.9983027,0,"0"
0.6433321,0,"0"
0.99998474,0.9920155,"0"
0.9943199,0.044846833,"0"
0.00068654295,0.96305615,"0"
0.84749424,0,"0"
6.2221176e-07,0,"0"
0.9991763,0.97600174,"0"
0.5545499,0.34405175,"0"
0.99826485,0.93167096,"1"
0.30078226,0.08177037,"0"
0.070248425,0.523304,"0"
2.1261617e-11,0.008349365,"0"
0.6480497,0.07455127,"0"
2.1606172e-06,0,"0"
0.05298876,0.6465766,"0"
0.3978351,0.6383107,"0"
0.9999988,0,"0"
0.011770009,0.72304153,"0"
0.34128806,0,"0"
0.8844939,0.37172273,"0"
0.0049229916,0.93932444,"0"
0.0018815689,0.8772241,"0"
0.13091762,0.7237412,"0"
0.004853505,0.9805776,"0"
0.45055628,0.46150416,"0"
0.99013793,0,"0"
0.016925637,0.801974,"0"
0.0011597726,0,"0"
0.9646125,0.96110046,"0"
9.061866e-06,0.98260903,"0"
0.7057809,0,"0"
3.6492231e-10,0.5969499,"0"
5.7699657e-07,0,"0"
0.20988075,0.99229103,"0"
6.4157944e-06,0.19840476,"0"
0.9997422,0.94205725,"0"
0.7676276,0.052027863,"0"
0.9956993,0.18404616,"0"
0.9335736,0.22301888,"0"
0.00053873763,0,"0"
1.5271852e-14,0.03823397,"0"
0.106320366,0.04945363,"0"
0.65507984,0,"0"
0.00029818524,0,"0"
0.010260425,0,"0"
5.181566e-05,0.06625309,"0"
0.003700285,0,"0"
0.99960786,0,"0"
8.6500694e-07,0.98387927,"0"
1,0.16723783,"0"
0.37477443,0,"0"
0.04550212,0,"0"
0.7551043,0,"0"
0.010159967,0,"1"
0.011551233,0.10083646,"1"
1,0,"1"
0.6412098,0,"1"
0.001905731,0,"1"
2.8211928e-06,0,"1"
8.541277e-05,0,"1"
1,0,"1"
0.00049557607,0,"1"
0.00048528,0.53045464,"1"
0.019957555,0,"1"
0.0014085082,0,"0"
0.007170439,0,"0"
0.026391165,0,"0"
2.4929996e-05,0,"0"
0.00047851703,0,"0"
0.37052137,0,"0"
0.014911799,0,"0"
0.08707273,0,"0"
0.0060576685,0,"0"
0.00012365406,0,"0"
0.005372894,0,"0"
0.6107867,0,"0"
0.081839174,0,"0"
0.0013727634,0,"0"
0.00067274255,0,"0"
0.0066668023,0,"0"
0.0004699886,0,"0"
0.019486345,0,"0"
0.0007654006,0,"0"
0.32517803,0,"0"
0.023857227,0,"0"
0.04333592,0,"0"
5.495128e-05,0,"0"
0.0034727463,0,"0"
0.8252184,0,"0"
0.0008561262,0,"0"
0.61055875,0,"1"
0.0067979177,0,"0"
0.00068683876,0,"0"
0.9199946,0,"0"
0.0008887648,0,"0"
0.0715116,0,"0"
0.27852398,0,"0"
8.150821e-05,0,"0"
0.03269617,0,"0"
