"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"Q9D517",29315100,82314900,10660538,84376467,22193975,15662000,32101175,7909598,5190205,17905175,2202562,3321225,2891185,17632250,6596142,9730742,6966635,2294555,14677800,22735575,4712430,4678567
"Q9D665",126002.3333,92722.625,49824.8161,573415,179000.75,452.7715,627412.5,1087596,30642.675,160814.75,452.7715,199666.5,111435.55,171160.5,1129357.5,305804.25,34541.2178,83673.125,11844.6135,50948.625,32867.5149,1255810
"Q9D666",776433.7,450783.5,176270,502269.7,347991.5,215893.8,333512,142580.3,312298,442982.2,312292.5,441154,188131,351724.5,1214937.5,812721.2,332098.5,425320.8,918772.2,266101.2,277036.5,493308.7
"Q9D6G9",167595,176389.5,4140887.5,2473353.3333,452.7715,452.7715,452.7715,452.7715,452.7715,452.7715,452.7715,313336.9568,71598.7,293461.5,296114,452.7715,452.7715,164677,452.7715,452.7715,324067.75,19437.9072
"Q9D6I7",393778.33,947346.75,238914,546406,735043.5,173592.5,757716.5,445968.25,318449.5,643303.75,386079.5,839735.75,758165.5,1062311,950944,477158.25,834541.5,257702.75,66459.98,760938.75,516929.75,413128.67
"Q9D6J1",1037370,273515.2,1275292,21609430,3656420,1659885,261649.6,231052.5,1610200,1095400,452.7715,1089903,179476.8,1589675,7189388,2599958,881027.8,803612.2,167964.7,309277.2,623406.5,346446
"Q9D6K5",6898337,11718875,1773820,3855860,4459668,8979192,3808268,9282645,3080535,4201280,24120175,4792620,5429322,6664695,4323120,3825812,3461918,3196308,1825818,3811640,11792975,2901687
"Q9D6U8",19960367,75558125,2673750,12147667,8432805,154430000,9257345,27568525,4506052,9339682,81084350,2839068,19903225,18677975,12599950,4682988,3157090,9122370,3329742,3704710,101612450,9203500
"Q9D771",500854,384411.5,388743.75,797210.33,437919.25,367890,3150292.5,902259.75,662478.5,1121642.5,78810.72,2761060,286700,1062974,608392.75,880611,4931990,263960.75,8975735,3175702.5,273010.25,218071.67
"Q9D7B7",4886646.7,3775665,282538.5,2138386.7,2319045,759880,564074.2,195212.8,1820390,2186187.5,345182,629375.2,588568.8,5161282.5,4850740,705375,764988.5,837139.8,622691.8,1216607.5,818458.8,1603330
"Q9D7D7",452.7715,452.7715,452.7715,143323.3333,452.7715,452.7715,452.7715,452.7715,78978.15,452.7715,452.7715,131878.6,443009.75,452.7715,212260.25,810044,452.7715,134984.17,104863.825,28787.425,452.7715,1229983.3333
