"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9UQC9","CLCA2_HUMAN","Calcium-activated chloride channel regulator 2","Transporter","Skin\Thymus\Tongue","CLCA2"
"Q9UQQ1","NALDL_HUMAN","Aminopeptidase NAALADL1","Other TMPs","Kidney\Liver\MAT\Muscle\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Thymus","NAALADL1"
"Q9Y210","TRPC6_HUMAN","Short transient receptor potential channel 6","Ion-channels","Adrenal\Brain\Eye\Lung\Skin\Small\Spleen","TRPC6"
"Q9Y219","JAG2_HUMAN","Protein jagged-2","Other TMPs","Adrenal\BAT\Brain\Eye\Heart\Lung\Prostate\Skin\Testis\Thymus\Tongue\Urinary","JAG2"
"Q9Y225","RNF24_HUMAN","RING finger protein 24","Other TMPs","Brain\Eye\Kidney\Testis\Thymus","RNF24"
"Q9Y231","FUT9_HUMAN","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9","Other TMPs","Brain\Eye\Kidney\Prostate\Stomach\Urinary","FUT9"
"Q9Y241","HIG1A_HUMAN","HIG1 domain family member 1A, mitochondrial","Transporter","BAT\Heart\Prostate\Tongue","HIGD1A"
"Q9Y256","FACE2_HUMAN","CAAX prenyl protease 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RCE1"
"Q9Y271","CLTR1_HUMAN","Cysteinyl leukotriene receptor 1","GPCR","GAT\Lung\MAT\SCAT\Skin\Small\Stomach\Thymus","CYSLTR1"
"Q9Y274","SIA10_HUMAN","Type 2 lactosamine alpha-2,3-sialyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ST3GAL6"
"Q9Y275","TN13B_HUMAN","Tumor necrosis factor ligand superfamily member 13B","Other TMPs","Adrenal\GAT\Heart\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Testis\Thymus\Tongue\Urinary","TNFSF13B"
"Q9Y276","BCS1_HUMAN","Mitochondrial chaperone BCS1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","BCS1L"
"Q9Y277","VDAC3_HUMAN","Non-selective voltage-gated ion channel VDAC3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","VDAC3"
"Q9Y282","ERGI3_HUMAN","Endoplasmic reticulum-Golgi intermediate compartment protein 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ERGIC3"
"Q9Y287","ITM2B_HUMAN","Integral membrane protein 2B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITM2B"
"Q9Y289","SC5A6_HUMAN","Sodium-dependent multivitamin transporter-dependent multivitamin transporter","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","SLC5A6"
"Q9Y2A7","NCKP1_HUMAN","Nck-associated protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NCKAP1"
"Q9Y2A9","B3GN3_HUMAN","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3","Other TMPs","Adrenal\Lung\MAT\Prostate\SCAT\Small\Stomach\Thymus\Urinary","B3GNT3"
"Q9Y2B1","RXLT1_HUMAN","Ribitol-5-phosphate xylosyltransferase 1","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RXYLT1"
"Q9Y2B2","PIGL_HUMAN","N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PIGL"
"Q9Y2C2","UST_HUMAN","Uronyl 2-sulfotransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","UST"
"Q9Y2C3","B3GT5_HUMAN","Beta-1,3-galactosyltransferase 5","Other TMPs","Brain\Eye\Kidney\MAT\Pancreas\Prostate\Small\Stomach\Thymus","B3GALT5"
"Q9Y2C5","S17A4_HUMAN","Probable small intestine urate exporter","Transporter","Kidney\Liver\Small","SLC17A4"
"Q9Y2C9","TLR6_HUMAN","Toll-like receptor 6","Catalytic receptors","Adrenal\Brain\GAT\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","TLR6"
"Q9Y2D2","S35A3_HUMAN","UDP-N-acetylglucosamine transporter","Transporter","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC35A3"
"Q9Y2E8","SL9A8_HUMAN","Sodium/hydrogen exchanger 8/H exchanger 8","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC9A8"
"Q9Y2G1","MYRF_HUMAN","Myelin regulatory factor","Other TMPs","Brain\Eye\GAT\Lung\MAT\Pancreas\Small\Stomach\Urinary","MYRF"
"Q9Y2G3","AT11B_HUMAN","Phospholipid-transporting ATPase IF","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP11B"
"Q9Y2G8","DJC16_HUMAN","DnaJ homolog subfamily C member 16","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","DNAJC16"
"Q9Y2H6","FND3A_HUMAN","Fibronectin type-III domain-containing protein 3A","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FNDC3A"
"Q9Y2P4","S27A6_HUMAN","Long-chain fatty acid transport protein 6","Transporter","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC27A6"
"Q9Y2P5","S27A5_HUMAN","Long-chain fatty acid transport protein 5","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Urinary","SLC27A5"
"Q9Y2Q0","AT8A1_HUMAN","Phospholipid-transporting ATPase IA","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP8A1"
"Q9Y2R0","COA3_HUMAN","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COA3"
"Q9Y2T6","GPR55_HUMAN","G-protein coupled receptor 55","GPCR","Adrenal\MAT\Small\Spleen\Testis\Thymus","GPR55"
"Q9Y2W3","S45A1_HUMAN","Proton-associated sugar transporter A","Transporter","Brain\Eye\Stomach\Thymus","SLC45A1"
"Q9Y2Y6","TMM98_HUMAN","Transmembrane protein 98","Other TMPs","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Small\Spleen\Stomach\Thymus\Urinary","TMEM98"
"Q9Y320","TMX2_HUMAN","Thioredoxin-related transmembrane protein 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMX2"
"Q9Y328","NSG2_HUMAN","Neuronal vesicle trafficking-associated protein 2","Other TMPs","Adrenal\Brain\Eye\MAT\Spleen\Thymus","NSG2"
"Q9Y342","PLLP_HUMAN","Plasmolipin","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Thymus\Tongue\Urinary","PLLP"
"Q9Y385","UB2J1_HUMAN","Ubiquitin-conjugating enzyme E2 J1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","UBE2J1"
"Q9Y397","ZDHC9_HUMAN","Palmitoyltransferase ZDHHC9","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ZDHHC9"
"Q9Y3A6","TMED5_HUMAN","Transmembrane emp24 domain-containing protein 5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMED5"
"Q9Y3D6","FIS1_HUMAN","Mitochondrial fission 1 protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FIS1"
"Q9Y3E0","GOT1B_HUMAN","Vesicle transport protein GOT1B","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GOLT1B"
"Q9Y3P4","RHBD3_HUMAN","Rhomboid domain-containing protein 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RHBDD3"
"Q9Y3P8","SIT1_HUMAN","Signaling threshold-regulating transmembrane adapter 1","Other TMPs","BAT\Brain\GAT\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Thymus","SIT1"
"Q9Y3Q0","NALD2_HUMAN","N-acetylated-alpha-linked acidic dipeptidase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NAALAD2"
"Q9Y3Q3","TMED3_HUMAN","Transmembrane emp24 domain-containing protein 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMED3"
"Q9Y426","C2CD2_HUMAN","C2 domain-containing protein 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","C2CD2"
"Q9Y487","VPP2_HUMAN","V-type proton ATPase 116 kDa subunit a 2-transporting ATPase V0 subunit a 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP6V0A2"
"Q9Y4C0","NRX3A_HUMAN","Neurexin-3","Other TMPs","BAT\Brain\Eye\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Tongue","NRXN3"
"Q9Y4C5","CHST2_HUMAN","Carbohydrate sulfotransferase 2","Other TMPs","Adrenal\Brain\Eye\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","CHST2"
"Q9Y4D2","DGLA_HUMAN","Diacylglycerol lipase-alpha","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","DAGLA"
"Q9Y4D7","PLXD1_HUMAN","Plexin-D1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLXND1"
"Q9Y4W6","AFG32_HUMAN","Mitochondrial inner membrane m-AAA protease component AFG3L2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","AFG3L2"
"Q9Y512","SAM50_HUMAN","Sorting and assembly machinery component 50 homolog","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SAMM50"
"Q9Y519","T184B_HUMAN","Transmembrane protein 184B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","TMEM184B"
"Q9Y548","YIPF1_HUMAN","Protein YIPF1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","YIPF1"
"Q9Y561","LRP12_HUMAN","Low-density lipoprotein receptor-related protein 12","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Testis\Thymus","LRP12"
"Q9Y584","TIM22_HUMAN","Mitochondrial import inner membrane translocase subunit Tim22","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TIMM22"
"Q9Y5G9","PCDG4_HUMAN","Protocadherin gamma-A4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PCDHGA4"
"Q9Y5L3","ENTP2_HUMAN","Ectonucleoside triphosphate diphosphohydrolase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ENTPD2"
"Q9Y5M8","SRPRB_HUMAN","Signal recognition particle receptor subunit beta","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SRPRB"
"Q9Y5Q0","FADS3_HUMAN","Fatty acid desaturase 3 fatty acid desaturase desaturase","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","FADS3"
"Q9Y5Q5","CORIN_HUMAN","Atrial natriuretic peptide-converting enzyme","Other TMPs","Heart\Lung\Skin\Testis","CORIN"
"Q9Y5S1","TRPV2_HUMAN","Transient receptor potential cation channel subfamily V member 2","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TRPV2"
"Q9Y5S8","NOX1_HUMAN","NADPH oxidase 1","Ion-channels","Lung\Small\Spleen\Thymus","NOX1"
"Q9Y5T4","DJC15_HUMAN","DnaJ homolog subfamily C member 15","Transporter","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","DNAJC15"
"Q9Y5U4","INSI2_HUMAN","Insulin-induced gene 2 protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","INSIG2"
"Q9Y5U9","IR3IP_HUMAN","Immediate early response 3-interacting protein 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IER3IP1"
"Q9Y5W7","SNX14_HUMAN","Sorting nexin-14","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SNX14"
"Q9Y5Y0","FLVC1_HUMAN","Choline/ethanolamine transporter FLVCR1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","FLVCR1"
"Q9Y5Y5","PEX16_HUMAN","Peroxisomal membrane protein PEX16","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PEX16"
"Q9Y5Y6","ST14_HUMAN","Suppressor of tumorigenicity 14 protein","Other TMPs","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ST14"
"Q9Y5Y7","LYVE1_HUMAN","Lymphatic vessel endothelial hyaluronic acid receptor 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LYVE1"
"Q9Y5Z6","B3GT1_HUMAN","Beta-1,3-galactosyltransferase 1","Other TMPs","Adrenal\Brain\Eye\Liver\Skin\Tongue","B3GALT1"
"Q9Y5Z9","UBIA1_HUMAN","UbiA prenyltransferase domain-containing protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","UBIAD1"
"Q9Y619","ORNT1_HUMAN","Mitochondrial ornithine transporter 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A15"
"Q9Y624","JAM1_HUMAN","Junctional adhesion molecule A","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","F11R"
"Q9Y639","NPTN_HUMAN","Neuroplastin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NPTN"
"Q9Y644","RFNG_HUMAN","Beta-1,3-N-acetylglucosaminyltransferase radical fringe","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","RFNG"
"Q9Y653","AGRG1_HUMAN","Adhesion G-protein coupled receptor G1","GPCR","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ADGRG1"
"Q9Y662","HS3SB_HUMAN","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1","Other TMPs","Eye\Liver\Prostate\Spleen\Stomach\Thymus","HS3ST3B1"
"Q9Y666","S12A7_HUMAN","Solute carrier family 12 member 7","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC12A7"
"Q9Y672","ALG6_HUMAN","Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferaseGlcNAc-PP-Dol alpha-1,3-glucosyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ALG6"
"Q9Y673","ALG5_HUMAN","Dolichyl-phosphate beta-glucosyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ALG5"
"Q9Y693","LHPL6_HUMAN","LHFPL tetraspan subfamily member 6 protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LHFPL6"
"Q9Y696","CLIC4_HUMAN","Chloride intracellular channel protein 4","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLIC4"
"Q9Y6A1","POMT1_HUMAN","Protein O-mannosyl-transferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","POMT1"
"Q9Y6A2","CP46A_HUMAN","Cholesterol 24-hydroxylase","Other TMPs","Adrenal\Brain\Eye\Liver\Prostate\Small\Spleen\Testis","CYP46A1"
"Q9Y6A9","SPCS1_HUMAN","Signal peptidase complex subunit 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SPCS1"
"Q9Y6C9","MTCH2_HUMAN","Mitochondrial carrier homolog 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MTCH2"
"Q9Y6D0","SELK_HUMAN","Selenoprotein K","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SELENOK"
"Q9Y6F6","IRAG1_HUMAN","Inositol 1,4,5-triphosphate receptor associated 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IRAG1"
"Q9Y6G1","TM14A_HUMAN","Transmembrane protein 14A","Other TMPs","GAT\Kidney\MAT\SCAT","TMEM14A"
"Q9Y6H6","KCNE3_HUMAN","Potassium voltage-gated channel subfamily E member 3","Ion-channels","Small\Stomach\Testis","KCNE3"
"Q9Y6I8","PXMP4_HUMAN","Peroxisomal membrane protein 4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PXMP4"
"Q9Y6I9","TX264_HUMAN","Testis-expressed protein 264","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TEX264"
"Q9Y6K0","CEPT1_HUMAN","Choline/ethanolaminephosphotransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CEPT1"
"Q9Y6M5","ZNT1_HUMAN","Proton-coupled zinc antiporter SLC30A1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC30A1"
"Q9Y6N1","COX11_HUMAN","Cytochrome c oxidase assembly protein COX11, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX11"
"Q9Y6N8","CAD10_HUMAN","Cadherin-10","Other TMPs","Brain\Eye\Thymus","CDH10"
"Q9Y6Q6","TNR11_HUMAN","Tumor necrosis factor receptor superfamily member 11A","Catalytic receptors","Adrenal\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","TNFRSF11A"
"Q9Y6R1","S4A4_HUMAN","Electrogenic sodium bicarbonate cotransporter 1/HCO3 cotransporter","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC4A4"
