"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9BX73","TM2D2_HUMAN","TM2 domain-containing protein 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TM2D2"
"Q9BX74","TM2D1_HUMAN","TM2 domain-containing protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","TM2D1"
"Q9BX84","TRPM6_HUMAN","Transient receptor potential cation channel subfamily M member 6","Ion-channels","Kidney\Lung\Skin","TRPM6"
"Q9BX95","SGPP1_HUMAN","Sphingosine-1-phosphate phosphatase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SGPP1"
"Q9BXA5","SUCR1_HUMAN","Succinate receptor 1","GPCR","GAT\Kidney\Liver\MAT\SCAT\Spleen","SUCNR1"
"Q9BXB1","LGR4_HUMAN","Leucine-rich repeat-containing G-protein coupled receptor 4","GPCR","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LGR4"
"Q9BXC0","HCAR1_HUMAN","Hydroxycarboxylic acid receptor 1","GPCR","Adrenal\BAT\Eye\GAT\Kidney\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","HCAR1"
"Q9BXC1","GP174_HUMAN","Probable G-protein coupled receptor 174","GPCR","MAT\SCAT\Spleen\Thymus","GPR174"
"Q9BXJ7","AMNLS_HUMAN","Protein amnionless","Transporter","Adrenal\Eye\GAT\Kidney\Small\Urinary","AMN"
"Q9BXJ8","TACAN_HUMAN","Transmembrane protein 120A","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM120A"
"Q9BXK5","B2L13_HUMAN","Bcl-2-like protein 13","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","BCL2L13"
"Q9BXM7","PINK1_HUMAN","Serine/threonine-protein kinase PINK1, mitochondrial","Other TMPs","Adrenal\Brain\Heart\Tongue","PINK1"
"Q9BXP2","S12A9_HUMAN","Solute carrier family 12 member 9","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC12A9"
"Q9BXS4","TMM59_HUMAN","Transmembrane protein 59","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM59"
"Q9BXS9","S26A6_HUMAN","Solute carrier family 26 member 6","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC26A6"
