"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q8IW00","VSTM4_HUMAN","V-set and transmembrane domain-containing protein 4","Other TMPs","VSTM4","Ad\BAT\brain\heart\Kidney\liver\lung\SCAT\skin\SmallIntestine\Spleen\testis\thymus\Ub"
"Q8IW52","SLIK4_HUMAN","SLIT and NTRK-like protein 4","Other TMPs","SLITRK4","brain\eye\Kidney\thymus"
"Q8IWA4","MFN1_HUMAN","Mitofusin-1","Other TMPs","MFN1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWA5","CTL2_HUMAN","Choline transporter-like protein 2","Transporter","SLC44A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWB1","IPRI_HUMAN","Inositol 1,4,5-trisphosphate receptor-interacting protein","Other TMPs","ITPRIP","Ad\GAT\heart\Kidney\lung\MAT\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWB9","TEX2_HUMAN","Testis-expressed protein 2","Transporter","TEX2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWD5","MFS6L_HUMAN","Major facilitator superfamily domain-containing protein 6-like","Other TMPs","MFSD6L","Pancreas\SmallIntestine\testis"
"Q8IWK6","AGRA3_HUMAN","Adhesion G protein-coupled receptor A3","GPCR","ADGRA3","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWR1","TRI59_HUMAN","Tripartite motif-containing protein 59","Other TMPs","TRIM59","Ad\brain\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus"
"Q8IWT1","SCN4B_HUMAN","Sodium channel regulatory subunit beta-4","Ion-channels","SCN4B","BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue"
"Q8IWT6","LRC8A_HUMAN","Volume-regulated anion channel subunit LRRC8A","Ion-channels","LRRC8A","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWU2","LMTK2_HUMAN","Serine/threonine-protein kinase LMTK2","Catalytic receptors","LMTK2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IWU4","ZNT8_HUMAN","Proton-coupled zinc antiporter SLC30A8","Other TMPs","SLC30A8","Pancreas"
"Q8IWV1","LAX1_HUMAN","Lymphocyte transmembrane adapter 1","Other TMPs","LAX1","MAT\SCAT\SmallIntestine\Spleen\thymus"
"Q8IWX5","SGPP2_HUMAN","Sphingosine-1-phosphate phosphatase 2","Other TMPs","SGPP2","lung\skin\SmallIntestine\Stomach"
"Q8IWY9","CDAN1_HUMAN","Codanin-1","Other TMPs","CDAN1","Ad\brain\eye\GAT\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IX05","CD302_HUMAN","CD302 antigen","Other TMPs","CD302","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IX19","MCEM1_HUMAN","Mast cell-expressed membrane protein 1","Other TMPs","MCEMP1","Ad\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q8IX94","CTGE4_HUMAN","cTAGE family member 4","Other TMPs","CTAGE4",""
"Q8IXA5","SACA3_HUMAN","Sperm acrosome membrane-associated protein 3","Other TMPs","SPACA3","testis"
"Q8IXB3","TARG1_HUMAN","Trafficking regulator of GLUT4 1","Other TMPs","TRARG1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXI1","MIRO2_HUMAN","Mitochondrial Rho GTPase 2","Other TMPs","RHOT2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXI2","MIRO1_HUMAN","Mitochondrial Rho GTPase 1","Other TMPs","RHOT1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXK2","GLT12_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 12","Other TMPs","GALNT12","Ad\eye\GAT\Kidney\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXM6","NRM_HUMAN","Nurim","Other TMPs","NRM","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXU6","S35F2_HUMAN","Solute carrier family 35 member F2","Transporter","SLC35F2","Ad\brain\eye\GAT\Kidney\MAT\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IXX5","T183A_HUMAN","Transmembrane protein 183A","Other TMPs","TMEM183A",""
"Q8IY17","PLPL6_HUMAN","Patatin-like phospholipase domain-containing protein 6","Other TMPs","PNPLA6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IY26","PLPP6_HUMAN","Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6","Other TMPs","PLPP6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IY34","S15A3_HUMAN","Solute carrier family 15 member 3","Transporter","SLC15A3","GAT\liver\lung\MAT\SCAT\SmallIntestine\Spleen\thymus"
"Q8IY49","PAQRA_HUMAN","Monocyte to macrophage differentiation factor 2","Other TMPs","MMD2","Ad\brain\eye\testis"
"Q8IY50","S35F3_HUMAN","Solute carrier family 35 member F3","Transporter","SLC35F3","brain\eye\Kidney"
"Q8IY95","TM192_HUMAN","Transmembrane protein 192","Other TMPs","TMEM192","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IYJ0","PIANP_HUMAN","PILR alpha-associated neural protein","Other TMPs","PIANP","Ad\brain\eye\GAT\MAT\prostate\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8IYP9","ZDH23_HUMAN","Palmitoyltransferase ZDHHC23","Other TMPs","ZDHHC23","brain\Pancreas\prostate\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q8IYR6","TEFF1_HUMAN","Tomoregulin-1","Other TMPs","TMEFF1","BAT\brain\Pancreas\testis"
"Q8IYS0","ASTRC_HUMAN","Protein Aster-C","Transporter","GRAMD1C","BAT\Kidney\liver\lung\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8IYS2","K2013_HUMAN","Uncharacterized protein KIAA2013","Other TMPs","KIAA2013",""
"Q8IYV9","IZUM1_HUMAN","Izumo sperm-egg fusion protein 1","Other TMPs","IZUMO1","GAT\prostate\testis\tongue"
"Q8IZ08","GP135_HUMAN","G-protein coupled receptor 135","GPCR","GPR135",""
"Q8IZ52","CHSS2_HUMAN","Chondroitin sulfate synthase 2","Other TMPs","CHPF","Ad\brain\eye\lung\MAT\prostate\skin\SmallIntestine\Spleen\Stomach\testis\Ub"
"Q8IZ57","NRSN1_HUMAN","Neurensin-1","Other TMPs","NRSN1","Ad\BAT\brain\eye\heart\Kidney\MAT\SmallIntestine\Spleen\Stomach"
"Q8IZA0","K319L_HUMAN","Dyslexia-associated protein KIAA0319-like protein","Other TMPs","KIAA0319L",""
"Q8IZD6","S22AF_HUMAN","Solute carrier family 22 member 15","Transporter","SLC22A15","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8IZF0","NALCN_HUMAN","Sodium leak channel NALCN","Ion-channels","NALCN",""
"Q8IZF2","AGRF5_HUMAN","Adhesion G protein-coupled receptor F5","GPCR","ADGRF5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IZF4","AGRG5_HUMAN","Adhesion G-protein coupled receptor G5","GPCR","ADGRG5","MAT\SCAT\SmallIntestine\Spleen\thymus"
"Q8IZF5","AGRF3_HUMAN","Adhesion G-protein coupled receptor F3","GPCR","ADGRF3","testis"
"Q8IZJ1","UNC5B_HUMAN","Netrin receptor UNC5B","Other TMPs","UNC5B","Ad\brain\eye\GAT\Kidney\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q8IZK6","MCLN2_HUMAN","Mucolipin-2","Ion-channels","MCOLN2","MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus"
"Q8IZM9","S38A6_HUMAN","Solute carrier family 38 member 6","Other TMPs","SLC38A6",""
"Q8IZN3","ZDH14_HUMAN","Palmitoyltransferase ZDHHC14","Other TMPs","ZDHHC14","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8IZP7","H6ST3_HUMAN","Heparan-sulfate 6-O-sulfotransferase 3","Other TMPs","HS6ST3","brain"
"Q8IZP9","AGRG2_HUMAN","Adhesion G-protein coupled receptor G2","GPCR","ADGRG2","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8IZR5","CKLF4_HUMAN","CKLF-like MARVEL transmembrane domain-containing protein 4","Other TMPs","CMTM4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IZS8","CA2D3_HUMAN","Voltage-dependent calcium channel subunit alpha-2/delta-3","Ion-channels","CACNA2D3","Ad\brain\eye\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\tongue\Ub"
"Q8IZU8","DSEL_HUMAN","Dermatan-sulfate epimerase-like protein","Other TMPs","DSEL","skin"
"Q8IZU9","KIRR3_HUMAN","Kin of IRRE-like protein 3","Other TMPs","KIRREL3","brain\eye\thymus"
"Q8IZV2","CKLF8_HUMAN","CKLF-like MARVEL transmembrane domain-containing protein 8","Other TMPs","CMTM8","liver\lung\Pancreas\prostate\Stomach\thymus"
"Q8IZV5","RDH10_HUMAN","Retinol dehydrogenase 10","Other TMPs","RDH10","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8IZY2","ABCA7_HUMAN","Phospholipid-transporting ATPase ABCA7","Transporter","ABCA7","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8J025","APCD1_HUMAN","Protein APCDD1","Other TMPs","APCDD1","GAT\lung\MAT\prostate\SCAT\skin\Spleen\Stomach\testis\tongue\Ub"
"Q8N0U2","TMM61_HUMAN","Transmembrane protein 61","Other TMPs","TMEM61",""
"Q8N0U8","VKORL_HUMAN","Vitamin K epoxide reductase complex subunit 1-like protein 1","Other TMPs","VKORC1L1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N0V5","GNT2A_HUMAN","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase","Other TMPs","GCNT2","Ad\eye\GAT\Kidney\liver\lung\prostate\skin\SmallIntestine\Stomach\Ub"
"Q8N0W4","NLGNX_HUMAN","Neuroligin-4, X-linked","Other TMPs","NLGN4X",""
"Q8N0W7","FMR1N_HUMAN","FMR1 neighbor protein","Other TMPs","FMR1NB","Stomach\testis"
"Q8N109","KI2LA_HUMAN","Killer cell immunoglobulin-like receptor 2DL5A","Other TMPs","KIR2DL5A",""
"Q8N111","CEND_HUMAN","Cell cycle exit and neuronal differentiation protein 1","Other TMPs","CEND1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q8N112","LSME2_HUMAN","Leucine-rich single-pass membrane protein 2","Other TMPs","LSMEM2",""
"Q8N114","SHSA5_HUMAN","Protein shisa-5","Other TMPs","SHISA5","Ad\BAT\GAT\Kidney\lung\MAT\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\Ub"
"Q8N126","CADM3_HUMAN","Cell adhesion molecule 3","Other TMPs","CADM3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N130","NPT2C_HUMAN","Sodium-dependent phosphate transport protein 2C-dependent phosphate cotransporter 2C","Other TMPs","SLC34A3","Kidney\SmallIntestine"
"Q8N138","ORML3_HUMAN","ORM1-like protein 3","Other TMPs","ORMDL3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8N139","ABCA6_HUMAN","ATP-binding cassette sub-family A member 6","Transporter","ABCA6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N144","CXD3_HUMAN","Gap junction delta-3 protein","Other TMPs","GJD3",""
"Q8N1C3","GBRG1_HUMAN","Gamma-aminobutyric acid receptor subunit gamma-1 receptor subunit gamma-1","Ion-channels","GABRG1","brain"
"Q8N1N0","CLC4F_HUMAN","C-type lectin domain family 4 member F","Other TMPs","CLEC4F",""
"Q8N1S5","S39AB_HUMAN","Zinc transporter ZIP11","Transporter","SLC39A11","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N201","INT1_HUMAN","Integrator complex subunit 1","Other TMPs","INTS1","Ad\eye\Kidney\liver\lung\MAT\Pancreas\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8N205","SYNE4_HUMAN","Nesprin-4","Other TMPs","SYNE4","Kidney\Pancreas"
"Q8N271","PROM2_HUMAN","Prominin-2","Other TMPs","PROM2","Ad\brain\eye\GAT\Kidney\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N292","GAPT_HUMAN","Protein GAPT","Other TMPs","GAPT","lung\MAT\SCAT\Spleen\thymus"
"Q8N2A8","PLD6_HUMAN","Mitochondrial cardiolipin hydrolase","Other TMPs","PLD6","Ad\BAT\Stomach\testis\thymus"
"Q8N2C7","UNC80_HUMAN","Protein unc-80 homolog","Other TMPs","UNC80","Ad\brain\eye"
"Q8N2F6","ARM10_HUMAN","Armadillo repeat-containing protein 10","Other TMPs","ARMC10","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N2H4","SYS1_HUMAN","Protein SYS1 homolog","Transporter","SYS1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N2K0","ABD12_HUMAN","Lysophosphatidylserine lipase ABHD12","Other TMPs","ABHD12","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N2K1","UB2J2_HUMAN","Ubiquitin-conjugating enzyme E2 J2","Other TMPs","UBE2J2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N2M4","TM86A_HUMAN","Lysoplasmalogenase TMEM86A","Other TMPs","TMEM86A","Ad\eye\GAT\Kidney\lung\MAT\SCAT\skin\SmallIntestine\Spleen\testis\thymus"
"Q8N2Q7","NLGN1_HUMAN","Neuroligin-1","Other TMPs","NLGN1","brain\eye\thymus"
"Q8N2U0","TM256_HUMAN","Transmembrane protein 256","Other TMPs","TMEM256","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N2U9","S66A2_HUMAN","Solute carrier family 66 member 2","Other TMPs","SLC66A2","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N349","OR2LD_HUMAN","Olfactory receptor 2L13","GPCR","OR2L13",""
"Q8N350","CBARP_HUMAN","Voltage-dependent calcium channel beta subunit-associated regulatory protein","Other TMPs","CBARP","Ad\brain\eye\lung\prostate\Spleen\thymus\Ub"
"Q8N357","S35F6_HUMAN","Solute carrier family 35 member F6","Transporter","SLC35F6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N370","LAT4_HUMAN","Large neutral amino acids transporter small subunit 4","Transporter","SLC43A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N386","LRC25_HUMAN","Leucine-rich repeat-containing protein 25","Other TMPs","LRRC25","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N387","MUC15_HUMAN","Mucin-15","Other TMPs","MUC15","eye\skin\Stomach\thymus\tongue\Ub"
"Q8N394","TMTC2_HUMAN","Protein O-mannosyl-transferase TMTC2","Other TMPs","TMTC2","brain\eye\liver\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Stomach\testis\thymus\Ub"
"Q8N3G9","TM130_HUMAN","Transmembrane protein 130","Other TMPs","TMEM130","Ad\brain\eye"
"Q8N3J6","CADM2_HUMAN","Cell adhesion molecule 2","Other TMPs","CADM2","Ad\BAT\brain\eye\Kidney\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\Spleen\Stomach\thymus\tongue\Ub"
"Q8N3S3","PHTF2_HUMAN","Protein PHTF2","Other TMPs","PHTF2",""
"Q8N3T1","GLT15_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 15","Other TMPs","GALNT15","lung\MAT\SCAT\skin\Ub"
"Q8N3Y3","LARG2_HUMAN","Xylosyl- and glucuronyltransferase LARGE2","Other TMPs","LARGE2","Kidney\lung\Pancreas\prostate\skin\SmallIntestine\Stomach\thymus\Ub"
"Q8N3Y7","RDHE2_HUMAN","Epidermal retinol dehydrogenase 2","Other TMPs","SDR16C5","skin\Stomach\tongue"
"Q8N423","LIRB2_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 2","Other TMPs","LILRB2",""
"Q8N428","GLT16_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 16","Other TMPs","GALNT16","Ad\BAT\brain\eye\GAT\Kidney\MAT\Muscle\Pancreas\prostate\SCAT\skin\Spleen\thymus\tongue\Ub"
"Q8N434","SVOPL_HUMAN","Putative transporter SVOPL","Other TMPs","SVOPL","eye\GAT"
"Q8N441","FGRL1_HUMAN","Fibroblast growth factor receptor-like 1","Other TMPs","FGFRL1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\prostate\SCAT\skin\SmallIntestine\Stomach\testis\tongue\Ub"
"Q8N468","MFD4A_HUMAN","Major facilitator superfamily domain-containing protein 4A","Transporter","MFSD4A","Ad\brain\eye\heart\Kidney\lung\Pancreas\prostate\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q8N4A0","GALT4_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 4","Other TMPs","GALNT4","Ad\BAT\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q8N4C9","CQ078_HUMAN","Uncharacterized protein C17orf78","Other TMPs","C17orf78",""
"Q8N4H5","TOM5_HUMAN","Mitochondrial import receptor subunit TOM5 homolog","Other TMPs","TOMM5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N4K4","RPRML_HUMAN","Reprimo-like protein","Other TMPs","RPRML",""
"Q8N4L1","T151A_HUMAN","Transmembrane protein 151A","Other TMPs","TMEM151A","brain\eye\Stomach"
"Q8N4L2","PP4P2_HUMAN","Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase","Other TMPs","PIP4P2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N4M1","CTL3_HUMAN","Choline transporter-like protein 3","Other TMPs","SLC44A3","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q8N4S7","PAQR4_HUMAN","Progestin and adipoQ receptor family member 4","Other TMPs","PAQR4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q8N4S9","MALD2_HUMAN","MARVEL domain-containing protein 2","Other TMPs","MARVELD2","brain\Kidney\liver\lung\MAT\Pancreas\prostate\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q8N4V1","EMC5_HUMAN","ER membrane protein complex subunit 5","Transporter","MMGT1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N4V2","SVOP_HUMAN","Synaptic vesicle 2-related protein","Transporter","SVOP","Ad\BAT\brain\eye\SmallIntestine\Stomach\testis"
"Q8N4W6","DJC22_HUMAN","DnaJ homolog subfamily C member 22","Other TMPs","DNAJC22","Kidney\liver\Pancreas\SmallIntestine\Stomach"
"Q8N511","VMA12_HUMAN","Vacuolar ATPase assembly protein VMA12","Other TMPs","VMA12",""
"Q8N539","FBCD1_HUMAN","Fibrinogen C domain-containing protein 1","Other TMPs","FIBCD1","brain\eye\SmallIntestine\Stomach"
"Q8N5B7","CERS5_HUMAN","Ceramide synthase 5","Other TMPs","CERS5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5C1","CAHM5_HUMAN","Calcium homeostasis modulator protein 5","Ion-channels","CALHM5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5D6","GBGT1_HUMAN","Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1","Other TMPs","GBGT1","Ad\BAT\eye\GAT\MAT\Pancreas\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q8N5G0","SIM20_HUMAN","Small integral membrane protein 20","Other TMPs","SMIM20","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5G2","MACOI_HUMAN","Macoilin","Other TMPs","MACO1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5K1","CISD2_HUMAN","CDGSH iron-sulfur domain-containing protein 2","Other TMPs","CISD2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5M9","JAGN1_HUMAN","Protein jagunal homolog 1","Transporter","JAGN1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N5S1","S2541_HUMAN","Mitochondrial carrier protein SCaMC-3L","Other TMPs","SLC25A41","testis"
"Q8N5U1","M4A15_HUMAN","Membrane-spanning 4-domains subfamily A member 15","Other TMPs","MS4A15",""
"Q8N5Y8","PAR16_HUMAN","Protein mono-ADP-ribosyltransferase PARP16","Other TMPs","PARP16","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q8N608","DPP10_HUMAN","Inactive dipeptidyl peptidase 10","Other TMPs","DPP10",""
"Q8N609","TR1L1_HUMAN","Translocating chain-associated membrane protein 1-like 1","Other TMPs","TRAM1L1","brain\eye"
"Q8N661","TM86B_HUMAN","Lysoplasmalogenase TMEM86B","Other TMPs","TMEM86B","Kidney\liver\SmallIntestine\Spleen\testis"
"Q8N682","DRAM1_HUMAN","DNA damage-regulated autophagy modulator protein 1","Other TMPs","DRAM1","lung\Pancreas\SCAT\thymus"
"Q8N695","SC5A8_HUMAN","Sodium-coupled monocarboxylate transporter 1","Transporter","SLC5A8","Ad\eye\GAT\Kidney\lung\MAT\Muscle\Pancreas\prostate\skin\SmallIntestine\thymus\tongue\Ub"
