"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q9HCM2","PLXA4_HUMAN","Plexin-A4","Other TMPs","PLXNA4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCM3","K1549_HUMAN","UPF0606 protein KIAA1549","Other TMPs","KIAA1549",""
"Q9HCN3","PGAP6_HUMAN","Post-GPI attachment to proteins factor 6","Other TMPs","PGAP6","eye\Kidney\lung\MAT\Pancreas\SmallIntestine\Spleen\Stomach\testis\thymus"
"Q9HCN6","GPVI_HUMAN","Platelet glycoprotein VI","Other TMPs","GP6","lung\Spleen\tongue"
"Q9HCP6","HHATL_HUMAN","Protein-cysteine N-palmitoyltransferase HHAT-like protein","Other TMPs","HHATL","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCS2","CP4FC_HUMAN","Cytochrome P450 4F12","Other TMPs","CYP4F12",""
"Q9HCU0","CD248_HUMAN","Endosialin","Other TMPs","CD248","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCU4","CELR2_HUMAN","Cadherin EGF LAG seven-pass G-type receptor 2","GPCR","CELSR2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Stomach\testis\thymus\Ub"
"Q9HCU5","SEC12_HUMAN","Guanine nucleotide-exchange factor SEC12","Transporter","PREB","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCX4","TRPC7_HUMAN","Short transient receptor potential channel 7","Ion-channels","TRPC7",""
"Q9HD20","AT131_HUMAN","Endoplasmic reticulum transmembrane helix translocase","Transporter","ATP13A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
