"protein","entry_name","description","family","gene_symbol","expression_tissue"
"P78357","CNTP1_HUMAN","Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)","Other TMP","CNTNAP1","AD/BAT/BRN/EYE/GAT/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9UHC6","CNTP2_HUMAN","Contactin-associated protein-like 2 (Cell recognition molecule Caspr2)","Other TMP","CNTNAP2","BAT/BRN/EYE/PCR/PRS/SCAT/SIT/TES/THM/TON/UB"
"Q9BZ76","CNTP3_HUMAN","Contactin-associated protein-like 3 (Cell recognition molecule Caspr3)","Other TMP","CNTNAP3",""
"Q96NU0","CNT3B_HUMAN","Contactin-associated protein-like 3B (Cell recognition molecule Caspr3b)","Other TMP","CNTNAP3B",""
"Q9C0A0","CNTP4_HUMAN","Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)","Other TMP","CNTNAP4","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9GZY4","COA1_HUMAN","Cytochrome c oxidase assembly factor 1 homolog (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 15 kDa)","Other TMP","COA1",""
"Q9Y2R0","COA3_HUMAN","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)","Other TMP","COA3","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5TAT6","CODA1_HUMAN","Collagen alpha-1(XIII) chain (COLXIIIA1)","Other TMP","COL13A1",""
"Q9UMD9","COHA1_HUMAN","Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]","Other TMP","COL17A1","BAT/GAT/MAT/PRS/SCAT/SKN/STM/THM/TON/UB"
"Q86Y22","CONA1_HUMAN","Collagen alpha-1(XXIII) chain","Other TMP","COL23A1","BAT/BRN/EYE/GAT/LUN/PRS/SKN/SIT/SPL/STM/UB"
"Q9BXS0","COPA1_HUMAN","Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)]","Other TMP","COL25A1",""
"Q5KU26","COL12_HUMAN","Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)","Other TMP","COLEC12","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P21964","COMT_HUMAN","Catechol O-methyltransferase (EC 2.1.1.6)","Other TMP","COMT","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q86VU5","CMTD1_HUMAN","Catechol O-methyltransferase domain-containing protein 1 (EC 2.1.1.-)","Other TMP","COMTD1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96H96","COQ2_HUMAN","4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate decaprenyltransferase) (COQ2 homolog) (hCOQ2) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)","Other TMP","COQ2","AD/BAT/EYE/GAT/HRT/KID/LIV/MAT/SKM/PRS/SCAT/SKN/SIT/STM/THM/TON/UB"
"Q8NI60","COQ8A_HUMAN","Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)","Other TMP","COQ8A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96D53","COQ8B_HUMAN","Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)","Other TMP","COQ8B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9Y5Q5","CORIN_HUMAN","Atrial natriuretic peptide-converting enzyme (EC 3.4.21.-) (Corin) (Heart-specific serine proteinase ATC2) (Pro-ANP-converting enzyme) (Transmembrane protease serine 10) [Cleaved into: Atrial natriuretic peptide-converting enzyme, N-terminal propeptide; Atrial natriuretic peptide-converting enzyme, activated protease fragment; Atrial natriuretic peptide-converting enzyme, 180 kDa soluble fragment; Atrial natriuretic peptide-converting enzyme, 160 kDa soluble fragment; Atrial natriuretic peptide-converting enzyme, 100 kDa soluble fragment]","Other TMP","CORIN","HRT/LUN/SKN/TES"
"Q12887","COX10_HUMAN","Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.141) (Heme O synthase)","Other TMP","COX10","AD/BAT/EYE/GAT/HRT/KID/LIV/MAT/SKM/PRS/SCAT/SIT/SPL/STM/TES/TON"
"Q9Y6N1","COX11_HUMAN","Cytochrome c oxidase assembly protein COX11, mitochondrial","Other TMP","COX11","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96I36","COX14_HUMAN","Cytochrome c oxidase assembly protein COX14","Other TMP","COX14","BAT/GAT/HRT/KID/MAT/SCAT"
"Q7KZN9","COX15_HUMAN","Heme A synthase COX15 (HAS) (EC 1.17.99.9) (Cytochrome c oxidase assembly protein COX15 homolog)","Other TMP","COX15","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9P0S2","COX16_HUMAN","Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (hCOX16)","Other TMP","COX16","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8N8Q8","COX18_HUMAN","Cytochrome c oxidase assembly protein COX18, mitochondrial (COX18Hs) (Cytochrome c oxidase assembly protein 18)","Other TMP","COX18","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5RI15","COX20_HUMAN","Cytochrome c oxidase assembly protein COX20, mitochondrial","Other TMP","COX20","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P13073","COX41_HUMAN","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)","Other TMP","COX4I1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96KJ9","COX42_HUMAN","Cytochrome c oxidase subunit 4 isoform 2, mitochondrial (Cytochrome c oxidase subunit IV isoform 2) (COX IV-2)","Other TMP","COX4I2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P12074","CX6A1_HUMAN","Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver) (COX VIa-L)","Other TMP","COX6A1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q02221","CX6A2_HUMAN","Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH) (Cytochrome c oxidase subunit VIA-muscle) (COX VIa-M)","Other TMP","COX6A2","AD/BAT/EYE/GAT/HRT/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SPL/STM/THM/TON/UB"
"P09669","COX6C_HUMAN","Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)","Other TMP","COX6C","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P24310","CX7A1_HUMAN","Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)","Other TMP","COX7A1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P14406","CX7A2_HUMAN","Cytochrome c oxidase subunit 7A2, mitochondrial (Cytochrome c oxidase subunit VIIa-liver/heart) (Cytochrome c oxidase subunit VIIa-L) (Cytochrome c oxidase subunit VIIaL)","Other TMP","COX7A2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P24311","COX7B_HUMAN","Cytochrome c oxidase subunit 7B, mitochondrial (Cytochrome c oxidase polypeptide VIIb)","Other TMP","COX7B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"Q8TF08","CX7B2_HUMAN","Cytochrome c oxidase subunit 7B2, mitochondrial (Cytochrome c oxidase polypeptide VIIb2)","Other TMP","COX7B2",""
"P15954","COX7C_HUMAN","Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)","Other TMP","COX7C","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P10176","COX8A_HUMAN","Cytochrome c oxidase subunit 8A, mitochondrial (Cytochrome c oxidase polypeptide VIII-liver/heart) (Cytochrome c oxidase subunit 8-2)","Other TMP","COX8A","BAT/BRN/EYE/STM/THM"
"O75976","CBPD_HUMAN","Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180)","Other TMP","CPD","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8TCG5","CPT1C_HUMAN","Palmitoyl thioesterase CPT1C (EC 3.1.2.22) (Carnitine O-palmitoyltransferase 1, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C) (Carnitine palmitoyltransferase I) (CPT I-C)","Other TMP","CPT1C","AD/BAT/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P17927","CR1_HUMAN","Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)","Other TMP","CR1",""
"P20023","CR2_HUMAN","Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)","Other TMP","CR2","LUN/MAT/PCR/PRS/SCAT/SIT/SPL/THM"
"P82279","CRUM1_HUMAN","Protein crumbs homolog 1","Other TMP","CRB1","EYE/PCR"
"Q5IJ48","CRUM2_HUMAN","Protein crumbs homolog 2 (Crumbs-like protein 2)","Other TMP","CRB2","AD/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SPL/THM/UB"
"Q9BUF7","CRUM3_HUMAN","Protein crumbs homolog 3","Other TMP","CRB3","EYE/GAT/KID/LIV/LUN/PCR/PRS/SIT/STM/THM/UB"
"O43889","CREB3_HUMAN","Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)]","Other TMP","CREB3","AD/EYE/PCR/SPL/TES/THM"
"Q96BA8","CR3L1_HUMAN","Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]","Other TMP","CREB3L1","PCR/STM/TES"
"Q70SY1","CR3L2_HUMAN","Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) (BBF2 human homolog on chromosome 7) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]","Other TMP","CREB3L2","AD/EYE/KID/LUN/PCR/PRS/SKN/SIT/SPL/STM/TES/THM/UB"
"Q68CJ9","CR3L3_HUMAN","Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3]","Other TMP","CREB3L3","LIV/SIT"
"Q8TEY5","CR3L4_HUMAN","Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]","Other TMP","CREB3L4","STM/TES/UB"
"Q96HD1","CREL1_HUMAN","Protein disulfide isomerase CRELD1 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 1)","Other TMP","CRELD1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NZV1","CRIM1_HUMAN","Cysteine-rich motor neuron 1 protein (CRIM-1) (Cysteine-rich repeat-containing protein S52) [Cleaved into: Processed cysteine-rich motor neuron 1 protein]","Other TMP","CRIM1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9UJA2","CRLS1_HUMAN","Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41) (Protein GCD10 homolog)","Other TMP","CRLS1","AD/BAT/GAT/HRT/MAT/PCR/PRS/SCAT/SKN/SIT/TES/THM"
"O95727","CRTAM_HUMAN","Cytotoxic and regulatory T-cell molecule (Class-I MHC-restricted T-cell-associated molecule) (CD antigen CD355)","Other TMP","CRTAM",""
"P09603","CSF1_HUMAN","Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF) [Cleaved into: Processed macrophage colony-stimulating factor 1; Macrophage colony-stimulating factor 1 43 kDa subunit]","Other TMP","CSF1","AD/GAT/HRT/KID/LUN/MAT/SCAT/SKN/SPL/STM/THM/UB"
"Q8TDX6","CGAT1_HUMAN","Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)","Other TMP","CSGALNACT1","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/SCAT/SKN/SPL/STM/THM/UB"
"Q8N6G5","CGAT2_HUMAN","Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)","Other TMP","CSGALNACT2","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96PZ7","CSMD1_HUMAN","CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)","Other TMP","CSMD1","AD/BRN/EYE/KID/MAT/SCAT/SIT/SPL/STM/THM"
"Q7Z407","CSMD3_HUMAN","CUB and sushi domain-containing protein 3 (CUB and sushi multiple domains protein 3)","Other TMP","CSMD3","BRN/EYE/LUN/PRS/SPL/TES/THM/UB"
"Q6UVK1","CSPG4_HUMAN","Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan)","Other TMP","CSPG4","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O95196","CSPG5_HUMAN","Chondroitin sulfate proteoglycan 5 (Acidic leucine-rich EGF-like domain-containing brain protein) (Neuroglycan C)","Other TMP","CSPG5","AD/BRN/EYE/LIV/TES/UB"
"Q96RT6","CTGE2_HUMAN","cTAGE family member 2 (Protein cTAGE-2) (Cancer/testis antigen 21.2) (CT21.2)","Other TMP","CTAGE1",""
"Q9HC47","CTGE1_HUMAN","Cutaneous T-cell lymphoma-associated antigen 1 (Protein cTAGE-1) (Cancer/testis antigen 21.1) (CT21.1)","Other TMP","CTAGE1",""
"A4D2H0","CTGEF_HUMAN","cTAGE family member 15 (Protein cTAGE-15)","Other TMP","CTAGE15",""
"Q8IX94","CTGE4_HUMAN","cTAGE family member 4 (Protein cTAGE-4)","Other TMP","CTAGE4",""
"Q86UF2","CTGE6_HUMAN","cTAGE family member 6 (Protein cTAGE-6)","Other TMP","CTAGE6",""
"P0CG41","CTGE8_HUMAN","cTAGE family member 8 (Protein cTAGE-8)","Other TMP","CTAGE8",""
"O95476","CNEP1_HUMAN","CTD nuclear envelope phosphatase 1 (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard)","Other TMP","CTDNEP1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P16410","CTLA4_HUMAN","Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)","Other TMP","CTLA4","MAT/SCAT/SIT/SPL/TES/THM/UB"
"P60606","CTXN1_HUMAN","Cortexin-1","Other TMP","CTXN1","BRN/PCR/STM/TES"
"Q4LDR2","CTXN3_HUMAN","Cortexin-3 (Kidney and brain-expressed protein)","Other TMP","CTXN3","AD/SKN"
"A0A1B0GV90","CTXD2_HUMAN","Cortexin domain containing 2","Other TMP","CTXND2","TES"
"Q86UP6","CUZD1_HUMAN","CUB and zona pellucida-like domain-containing protein 1 (CUB and ZP domain-containing protein 1) (Transmembrane protein UO-44)","Other TMP","CUZD1","AD/BAT/GAT/MAT/PCR/PRS/SCAT/SIT/SPL/STM/UB"
"Q9H720","PG2IP_HUMAN","PGAP2-interacting protein (Cell wall biogenesis protein 43 C-terminal homolog)","Other TMP","CWH43","EYE/GAT/KID/MAT/PRS/SKN/SIT/STM/TON/UB"
"P78423","X3CL1_HUMAN","Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]","Other TMP","CX3CL1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P78310","CXAR_HUMAN","Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)","Other TMP","CXADR","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9H2A7","CXL16_HUMAN","C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16)","Other TMP","CXCL16","EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q5JRM2","CX066_HUMAN","Uncharacterized protein CXorf66","Other TMP","CXorf66",""
"Q9UHQ9","NB5R1_HUMAN","NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)","Other TMP","CYB5R1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9BQA9","CYBC1_HUMAN","Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros)","Other TMP","CYBC1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P11511","CP19A_HUMAN","Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (Cytochrome P450 19A1) (Estrogen synthase)","Other TMP","CYP19A1",""
"Q6UW02","CP20A_HUMAN","Cytochrome P450 20A1 (EC 1.14.-.-)","Other TMP","CYP20A1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q7Z449","CP2U1_HUMAN","Cytochrome P450 2U1 (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)","Other TMP","CYP2U1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NYL5","CP39A_HUMAN","24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase)","Other TMP","CYP39A1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P08684","CP3A4_HUMAN","Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)","Other TMP","CYP3A4",""
"Q9Y6A2","CP46A_HUMAN","Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1)","Other TMP","CYP46A1","AD/BRN/EYE/LIV/PRS/SIT/SPL/TES"
"Q9HCS2","CP4FC_HUMAN","Cytochrome P450 4F12 (EC 1.14.14.1) (CYPIVF12)","Other TMP","CYP4F12",""
"Q6NT55","CP4FN_HUMAN","Ultra-long-chain fatty acid omega-hydroxylase (EC 1.14.14.177) (Cytochrome P450 4F22)","Other TMP","CYP4F22",""
"Q08477","CP4F3_HUMAN","Cytochrome P450 4F3 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (CYPIVF3) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase CYP4F3) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 2) (Leukotriene-B(4) omega-hydroxylase 2) (EC 1.14.14.94)","Other TMP","CYP4F3","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P98187","CP4F8_HUMAN","Cytochrome P450 4F8 (EC 1.14.14.1) (CYPIVF8)","Other TMP","CYP4F8",""
"Q6ZWL3","CP4V2_HUMAN","Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)","Other TMP","CYP4V2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q16850","CP51A_HUMAN","Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)","Other TMP","CYP51A1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P22680","CP7A1_HUMAN","Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (CYPVII) (Cholesterol 7-alpha-hydroxylase) (Cholesterol 7-alpha-monooxygenase) (EC 1.14.14.23)","Other TMP","CYP7A1","LIV/PRS/SIT/STM/TES"
"O75881","CP7B1_HUMAN","Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (25/26-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.29) (3-hydroxysteroid 7-alpha hydroxylase) (Oxysterol 7-alpha-hydroxylase)","Other TMP","CYP7B1","AD/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9UNU6","CP8B1_HUMAN","7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1.14.14.139) (7-alpha-hydroxy-4-cholesten-3-one 12-alpha-hydroxylase) (CYPVIIIB1) (Cytochrome P450 8B1) (Sterol 12-alpha-hydroxylase)","Other TMP","CYP8B1","AD/BAT/BRN/EYE/KID/LIV/MAT/SCAT/SPL"
"Q9H1C7","CYTM1_HUMAN","Cysteine-rich transmembrane module-containing protein 1","Other TMP","CYSTM1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96J86","CYYR1_HUMAN","Cysteine and tyrosine-rich protein 1 (Proline-rich domain-containing protein)","Other TMP","CYYR1","AD/BAT/LUN/SPL"
